序號,會議簡稱,會議全名,分類,類型,專業領域
1,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,A,會議,電腦體系結構/平行與分散運算/儲存系統
2,FAST,Conference on File and Storage Technologies,A,會議,電腦體系結構/平行與分散運算/儲存系統
3,DAC,Design Automation Conference,A,會議,電腦體系結構/平行與分散運算/儲存系統
4,HPCA,High Performance Computer Architecture,A,會議,電腦體系結構/平行與分散運算/儲存系統
5,MICRO,IEEE/ACM International Symposium on Microarchitecture,A,會議,電腦體系結構/平行與分散運算/儲存系統
6,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",A,會議,電腦體系結構/平行與分散運算/儲存系統
7,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,A,會議,電腦體系結構/平行與分散運算/儲存系統
8,ISCA,International Symposium on Computer Architecture,A,會議,電腦體系結構/平行與分散運算/儲存系統
9,USENIX ATC,USENIX Annul Technical Conference,A,會議,電腦體系結構/平行與分散運算/儲存系統
10,EuroSys,European Conference on Computer Systems,A,會議,電腦體系結構/平行與分散運算/儲存系統
1,SoCC,ACM Symposium on Cloud Computing,B,會議,電腦體系結構/平行與分散運算/儲存系統
2,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,B,會議,電腦體系結構/平行與分散運算/儲存系統
3,PODC,ACM Symposium on Principles of Distributed Computing,B,會議,電腦體系結構/平行與分散運算/儲存系統
4,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,B,會議,電腦體系結構/平行與分散運算/儲存系統
5,CGO,Code Generation and Optimization,B,會議,電腦體系結構/平行與分散運算/儲存系統
6,DATE,"Design, Automation & Test in Europe",B,會議,電腦體系結構/平行與分散運算/儲存系統
7,HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,B,會議,電腦體系結構/平行與分散運算/儲存系統
8,CLUSTER,IEEE International Conference on Cluster Computing,B,會議,電腦體系結構/平行與分散運算/儲存系統
9,ICCD,International Conference on Computer Design,B,會議,電腦體系結構/平行與分散運算/儲存系統
10,ICCAD,International Conference on Computer-Aided Design,B,會議,電腦體系結構/平行與分散運算/儲存系統
11,ICDCS,International Conference on Distributed Computing Systems,B,會議,電腦體系結構/平行與分散運算/儲存系統
12,CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,B,會議,電腦體系結構/平行與分散運算/儲存系統
13,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,B,會議,電腦體系結構/平行與分散運算/儲存系統
14,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,B,會議,電腦體系結構/平行與分散運算/儲存系統
15,PACT,International Conference on Parallel Architectures and Compilation Techniques,B,會議,電腦體系結構/平行與分散運算/儲存系統
16,ICPP,International Conference on Parallel Processing,B,會議,電腦體系結構/平行與分散運算/儲存系統
17,ICS,International Conference on Supercomputing,B,會議,電腦體系結構/平行與分散運算/儲存系統
18,VEE,International Conference on Virtual Execution Environments,B,會議,電腦體系結構/平行與分散運算/儲存系統
19,IPDPS,International Parallel & Distributed Processing Symposium,B,會議,電腦體系結構/平行與分散運算/儲存系統
